Reduxo ID,Fulcrum ID,Date,Latitude,Longitude,Site,Space,Level,Location Description,Asset Category,Asset Sub Category,Asset Type,GPS With Arrow,Parent QR Code,QR Code,Quantity,Condition,Photo 1,Condition Ranking,Condition Point
RSP05066,649d89b0-1880-4225-9690-2da1013f7882,2021-10-27,-33.87083368,121.9035177,Esperance,CV34 Tripper,Ground,,Port Specific,Conveyer,Audible Alert Device (Siren),No,,,1,3 - Good,RSP05066_20211027_01.jpg,Good,3
RSP05070,129446ac-a68b-4d80-a619-874233833ae2,2021-10-26,-33.86948019,121.9039106,Esperance,CV35,Ground,,Building,Building,Building,No,,109226,1,3 - Good,RSP05070_Q109226_20211026_01.jpg,Good,3
RSP05071,f9b1e31d-e360-475c-b517-dca2eff60389,2021-10-26,-33.87059204,121.9030929,Esperance,CV35,Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100144,1,3 - Good,,Good,3
RSP05072,1f5bff1c-4650-4206-84bc-b476f7f65f74,2021-10-26,-33.86945792,121.9038912,Esperance,CV35,Ground,,Electrical,Emergency Lighting,Emergency Light - Fluoro,No,,,3,3 - Good,,Good,3
RSP05073,49db3418-2015-4dae-aed3-478eff0e59da,2021-10-26,-33.86947295,121.903863,Esperance,CV35,Ground,,Electrical,Lighting,Fluorescent Light - Double,No,,,9,4  - Fair,,Fair,4
RSP05074,de9d4b78-d3e6-4210-a89c-c9a7387f536c,2021-10-26,-33.87069532,121.9032498,Esperance,CV35,Ground,,Port Specific,Conveyer,Audible Alert Device (Siren),No,,No QR Code,1,3 - Good,RSP05074_20211026_01.jpg,Good,3
RSP05078,c94e6a87-6ebd-4054-ab2a-3d4a246a495b,2021-10-26,-33.8704772,121.9027676,Esperance,CV35 Head End,Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100143,1,3 - Good,,Good,3
RSP05079,c8e49ae6-caf4-4f11-89a3-9c941eed074a,2021-10-26,-33.8704234,121.9028764,Esperance,CV35 Head End,Ground,,Port Specific,Conveyer,Emergency Stop (button),No,,100142,1,3 - Good,RSP05079_Q100142_20211026_01.jpg,Good,3
RSP05080,a82cd6f1-32fa-4c6c-bc77-19184defb399,2021-10-26,-33.8704234,121.9028764,Esperance,CV35 Head End,Ground,,Port Specific,Conveyer,Emergency Stop (button),No,,100141,1,3 - Good,RSP05080_Q100141_20211026_01.jpg,Good,3
RSP05081,4ee7b1c3-e9de-4e58-8b1c-cb6a6a707870,2021-10-26,-33.8704234,121.9028764,Esperance,CV35 Head End,Ground,,Port Specific,Conveyer,Position - Head End (motor and gearbox end),No,,109224,1,3 - Good,RSP05081_Q109224_20211026_01.jpg,Good,3
RSP05082,d0bad754-ab40-45d1-a09d-e6e8eaf570cc,2021-10-26,-33.8707925,121.9034953,Esperance,CV35 Tail End,Ground,Water Pump Platform,Electrical,Lighting,Flood Light - LED,No,,,1,5 - Poor,,Poor,5
RSP05083,00aa8e0b-8162-45cb-8d6d-1de4b4af4c8e,2021-10-26,-33.87081864,121.9034604,Esperance,CV35 Tail End,Ground,Water Pump Platform,Port Specific,Conveyer,Emergency Stop (button),No,,100147,1,3 - Good,RSP05083_Q100147_20211026_01.jpg,Good,3
RSP05084,b28cfb32-7e49-4b62-9126-30b79f263e2f,2021-10-26,-33.87081864,121.9034604,Esperance,CV35 Tail End,Ground,Water Pump Platform,Hydraulics,Domestic Water,Water Pump,No,,100146,1,3 - Good,RSP05084_Q100146_20211026_01.jpg,Good,3
RSP05085,bd7d1387-3943-4b15-9596-38f62674f4a5,2021-10-26,-33.86966448,121.9042543,Esperance,CV35 Tail End,Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100351,1,3 - Good,,Good,3
RSP05086,1e35d5c4-411c-43a2-96c0-1b3157c73b7a,2021-10-26,-33.86964666,121.9042774,Esperance,CV35 Tail End,Ground,,Port Specific,Conveyer,Electric Motor,No,,107144,1,4  - Fair,RSP05086_Q107144_20211026_01.jpg,Fair,4
RSP05091,531a7e16-b864-4a41-a410-0e4a2ac30f38,2021-11-04,-33.8748002,121.9015171,Esperance,CV37,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100808,1,3 - Good,,Good,3
RSP05092,4802883c-05c0-44b2-8894-c0fde1348e14,2021-11-04,-33.87449873,121.9017277,Esperance,CV37,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100810,1,3 - Good,,Good,3
RSP05093,fced8de9-74f9-4336-94e9-c06c3e518372,2021-11-04,-33.87426685,121.9018876,Esperance,CV37,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100812,1,3 - Good,,Good,3
RSP05094,2b10fb6e-5c9c-4f1c-8bc6-933e2bae6593,2021-11-04,-33.87464237,121.9016509,Esperance,CV37,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,101366,1,3 - Good,,Good,3
RSP05095,443e88d0-5ac6-43d4-a0c9-3835e0e795c8,2021-11-04,-33.87413017,121.902018,Esperance,CV37,Level 1,,Electrical,Emergency Lighting,Exit Light,No,,,1,3 - Good,,Good,3
RSP05103,2f6a1068-8ada-4964-b678-8206b45b3a3a,2021-10-25,-33.87603391,121.9037413,Esperance,CV38,Level 1,,Electrical,Emergency Lighting,Exit Light,No,,,1,3 - Good,,Good,3
RSP05104,3c9aea9c-2a50-4c9c-94d0-f4c9446cfe08,2021-10-25,-33.87569208,121.9031633,Esperance,CV38,Level 1,,Electrical,Lighting,Fluorescent Light - Double,No,,,51,3 - Good,,Good,3
RSP05105,0bafe16f-58de-47db-a28f-9de97f1ce41f,2021-10-25,-33.87559549,121.9020167,Esperance,CV39,Ground,,Electrical,Emergency Lighting,Emergency Light - Double Spotlight,No,,,1,3 - Good,,Good,3
RSP05106,701968ee-b324-4dbc-aebf-b44222e2f303,2021-10-25,-33.87563696,121.9020656,Esperance,CV39,Ground,,Electrical,Emergency Lighting,Exit Light,No,,,2,3 - Good,,Good,3
RSP05107,8ef2004e-379e-4fca-982b-ee19c66a96df,2021-10-25,-33.87559549,121.9020167,Esperance,CV39,Ground,,Electrical,Lighting,Fluorescent Light - Double,No,,,12,3 - Good,,Good,3
RSP05108,6b1c2216-ec21-4ab6-b1d8-c97079b5a916,2021-10-25,-33.87559549,121.9020167,Esperance,CV39,Ground,,Electrical,Lighting,LED - Rectangular Fluoro style fitting,No,,,9,3 - Good,,Good,3
RSP05109,c85a9eaf-d94c-45bf-8b3b-49b64234cee0,2021-10-28,-33.87192491,121.8994109,Esperance,CV40,Level 1,Balcony,Electrical,Lighting,Fluorescent Light - Double,No,,,1,3 - Good,,Good,3
RSP05110,a3f021c8-3a2b-4cf5-8d2a-63e6bfb2aac7,2021-10-28,-33.87191016,121.8993992,Esperance,CV40,Level 1,Balcony,Security & Access,Security,Alarm System,No,,100573,1,3 - Good,RSP05110_Q100573_20211028_01.jpg,Good,3
RSP05111,ef6c6987-2ca0-40e4-89f5-35c8ac341d09,2021-10-28,-33.87227344,121.9001559,Esperance,CV40,Level 1,CV40 Enclosure,Building,Building,Building,No,,109242,1,3 - Good,RSP05111_Q109242_20211028_01.jpg,Good,3
RSP05112,0fd6c6d4-2c80-4385-ab48-93bf8510b7c4,2021-10-28,-33.87274417,121.9011708,Esperance,CV40,Level 1,,Electrical,Power Distribution,Distribution Board (DB),No,,100482,1,3 - Good,RSP05112_Q100482_20211028_01.jpg,Good,3
RSP05113,2e0e8967-92b3-409f-b701-b20b76bce343,2021-10-28,-33.87211142,121.8998199,Esperance,CV40,Level 1,,Electrical,Power Distribution,Distribution Board (DB),No,,100574,1,3 - Good,RSP05113_Q100574_20211028_01.jpg,Good,3
RSP05170,38276020-7ee8-4607-a53f-7868b9b3b049,2021-10-28,-33.8719277,121.8994277,Esperance,CV40 Tail End,Level 1,,Port Specific,Conveyer,Position - Tail End,No,,109243,1,3 - Good,RSP05170_Q109243_20211028_01.jpg,Good,3
RSP05171,a9db431f-f596-4a96-8af4-a59ae7111207,2021-10-28,-33.87193605,121.899429,Esperance,CV40 Tail End,Level 1,,Hydraulics,Domestic Water,Safety Eye Wash (Plumbed),No,,100458,1,3 - Good,RSP05171_Q100458_20211028_01.jpg,Good,3
RSP05172,6de5404f-d40c-4827-aca3-760e985d74a8,2021-11-16,-33.87357065,121.9024941,Esperance,CV41,Level 1,,Building,Building,Building,No,,109008,1,3 - Good,RSP05172_Q109008_20211116_01.jpg,Good,3
RSP05173,e8890afc-dc13-4dd5-8656-4a583075d91f,2021-11-16,-33.87349549,121.9025501,Esperance,CV41,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103012,1,3 - Good,,Good,3
RSP05174,a325119c-8140-48a3-b855-b7e9f6a81947,2021-11-16,-33.8736344,121.9024394,Esperance,CV41,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103014,1,3 - Good,,Good,3
RSP05175,d5ab3036-12cf-4527-871e-1d21f3bac70e,2021-11-16,-33.87368228,121.9024049,Esperance,CV41,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103015,1,3 - Good,,Good,3
RSP05176,b894172c-2064-4c13-a337-be71a7ca6e2f,2021-11-16,-33.87391221,121.9022514,Esperance,CV41,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103083,1,3 - Good,,Good,3
RSP05189,37e42b83-a517-439d-a162-8f7681829d09,2021-11-16,-33.87445029,121.9025209,Esperance,CV42,Level 1,,Electrical,Power Distribution,Mechanical Services Switch Board (MSSB),No,,103110,1,3 - Good,RSP05189_Q103110_20211116_01.jpg,Good,3
RSP05190,351457fc-7339-4f95-b313-05d65fa0ab6e,2021-11-16,-33.87426852,121.902129,Esperance,CV42,Level 1,,Electrical,Power Distribution,Mechanical Services Switch Board (MSSB),No,,103107,1,3 - Good,RSP05190_Q103107_20211116_01.jpg,Good,3
RSP05191,560d337e-d545-4d90-8275-fd7fc70a6b91,2021-11-16,-33.87518128,121.9039894,Esperance,CV42,Level 1,,Fire Equipment,Fire Detection,Manual Call Point (Red Break Glass),No,,,1,3 - Good,,Good,3
RSP05192,db5d575f-e0e2-42c3-847f-746e24561b19,2021-11-16,-33.87426657,121.9021166,Esperance,CV42,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103104,1,3 - Good,,Good,3
RSP05193,8351ff1f-5f98-46bd-a9cf-0663753e411a,2021-11-16,-33.87423734,121.9021146,Esperance,CV42,Level 1,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103106,1,3 - Good,,Good,3
RSP05224,fe7c9883-b3f0-4943-a21b-660a4b9c6eb5,2021-11-16,-33.87513201,121.903918,Esperance,CV42 Head End,Level 1,,Electrical,Power Distribution,Mechanical Services Switch Board (MSSB),No,,103132,1,3 - Good,RSP05224_Q103132_20211116_01.jpg,Good,3
RSP05225,492b757e-8601-4b69-bc5d-2e95e306e9d0,2021-11-16,-33.87513201,121.903918,Esperance,CV42 Head End,Level 1,,Port Specific,Conveyer,Brake Assembly,No,,103135,1,3 - Good,RSP05225_Q103135_20211116_01.jpg,Good,3
RSP05226,25923957-919e-4d69-9de3-0aa841892f7d,2021-11-16,-33.87513201,121.903918,Esperance,CV42 Head End,Level 1,,Port Specific,Conveyer,Electric Motor,No,,103134,1,3 - Good,RSP05226_Q103134_20211116_01.jpg,Good,3
RSP05227,91837ca7-b611-4a31-81ee-56218b98b0cf,2021-11-16,-33.87513201,121.903918,Esperance,CV42 Head End,Level 1,,Port Specific,Conveyer,Emergency Stop (button),No,103132,103133,1,3 - Good,RSP05227_Q103133_20211116_01.jpg,Good,3
RSP05228,718b3416-234f-4934-872f-c4bb0a5d043c,2021-11-16,-33.87513201,121.903918,Esperance,CV42 Head End,Level 1,,Port Specific,Conveyer,Emergency Stop (button),No,,103131,1,3 - Good,RSP05228_Q103131_20211116_01.jpg,Good,3
RSP05231,0e2d511f-3885-4cb8-939f-e65453ff15fc,2021-11-19,-33.87598056,121.8968641,Esperance,Dempster Head,Ground,,Port Specific,Navigational,Land Based Navigational Aid,Yes,,107485,1,3 - Good,RSP05231_Q107485_20211119_01.jpg,Good,3
RSP05232,1fce1055-b086-4846-a05f-fa18c407b177,2021-10-22,-33.87718492,121.9032471,Esperance,Diesel Fume Extraction Shed (Shed 3 East),Ground,,Building,Building,Building,No,,109209,1,3 - Good,RSP05232_Q109209_20211022_01.jpg,Good,3
RSP05233,91bdba83-a05a-4f95-89ed-645dfb246b5c,2021-10-22,-33.87717963,121.9032485,Esperance,Diesel Fume Extraction Shed (Shed 3 East),Ground,,Electrical,Power Distribution,Distribution Board (DB),No,,100052,1,3 - Good,RSP05233_Q100052_20211022_01.jpg,Good,3
RSP05234,bd3b572e-7bd0-4432-a85e-1319bdbda16b,2021-10-22,-33.87716683,121.9032696,Esperance,Diesel Fume Extraction Shed (Shed 3 East),Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,100051,1,3 - Good,,Good,3
RSP05235,3af6201f-215b-4401-b62f-effc2fc57205,2021-10-22,-33.87723809,121.903223,Esperance,Diesel Fume Extraction Shed (Shed 3 East),Ground,,Electrical,Emergency Lighting,Emergency Light - Spitfire,No,,,1,3 - Good,,Good,3
RSP05236,ad385176-209a-429c-8587-88df1a259385,2021-10-22,-33.87714428,121.9032629,Esperance,Diesel Fume Extraction Shed (Shed 3 East),Ground,,Electrical,Emergency Lighting,Emergency Light - Spitfire,No,,,1,3 - Good,,Good,3
RSP05241,a90a65b7-b58f-4531-b938-397ad9835bee,2021-11-04,-33.87611769,121.9038221,Esperance,Diesel Fume Extraction Shed (Shed 4),Ground,,Security & Access,Access Control,Motorised Roller Door,No,,No QR Code,1,3 - Good,RSP05241_20211104_01.jpg,Good,3
RSP05242,0c9e0464-2031-494c-b0cb-2e8c8735a1b2,2021-11-04,-33.8761614,121.9037879,Esperance,Diesel Fume Extraction Shed (Shed 4),Ground,,Building,Building,Building,No,,109333,1,3 - Good,RSP05242_Q109333_20211104_01.jpg,Good,3
RSP05243,4994ae9e-1a3d-4d64-9577-c2822cb5f72a,2021-11-04,-33.87613662,121.9037997,Esperance,Diesel Fume Extraction Shed (Shed 4),Ground,,Electrical,Power Distribution,Mechanical Services Switch Board (MSSB),No,,100818,1,3 - Good,RSP05243_Q100818_20211104_01.jpg,Good,3
RSP05244,f96e14e4-5fba-4187-a11c-29fff977d187,2021-11-04,-33.87613662,121.9037997,Esperance,Diesel Fume Extraction Shed (Shed 4),Ground,,Electrical,Emergency Lighting,Exit Light,No,,,1,4  - Fair,,Fair,4
RSP05245,d0abe541-2c68-4356-8888-6d5458b264c3,2021-11-04,-33.87613662,121.9037997,Esperance,Diesel Fume Extraction Shed (Shed 4),Ground,,Electrical,Lighting,Fluorescent Light - Double,No,,,10,4  - Fair,,Fair,4
RSP05250,b059ded1-fb91-48ab-897f-185b2e7a935c,2021-11-19,-33.87591449,121.9007208,Esperance,Diesel Fume Extractor No. 1,Ground,,Electrical,Power Distribution,Motor Control Centre (MCC),No,,103566,1,3 - Good,RSP05250_Q103566_20211119_01.jpg,Good,3
RSP05251,89f15068-7487-4c60-8c83-10536c2a127d,2021-11-19,-33.87591699,121.9006652,Esperance,Diesel Fume Extractor No. 1,Ground,,Port Specific,Conveyer,Dust Extractor - Fan,No,109052,103300,1,3 - Good,RSP05251_Q103300_20211119_01.jpg,Good,3
RSP05252,5fade66f-0609-4a9a-bfec-86a97652a752,2021-11-19,-33.87591393,121.9006605,Esperance,Diesel Fume Extractor No. 1,Ground,,Port Specific,Conveyer,Dust Extractor - Fan,No,,109052,1,3 - Good,,Good,3
RSP05253,a759e1c9-69d1-4633-8ef9-529ea1b38248,2021-11-19,-33.87591699,121.9006652,Esperance,Diesel Fume Extractor No. 1,Ground,,Port Specific,Conveyer,Electric Motor,No,109052,103299,1,3 - Good,RSP05253_Q103299_20211119_01.jpg,Good,3
RSP05254,08f708fc-7b44-46f3-89ce-d772ff19f3c7,2021-11-19,-33.87591699,121.9006652,Esperance,Diesel Fume Extractor No. 1,Ground,,Port Specific,Conveyer,Emergency Stop (button),No,109052,103565,1,3 - Good,RSP05254_Q103565_20211119_01.jpg,Good,3
RSP05255,fae7e94f-f98c-4acd-ba02-936366b2cdca,2021-11-10,-33.8726602,121.8989676,Esperance,Dust Extractor 1,Ground,Beside RCD,Port Specific,Conveyer,Dust Extractor,No,109364,107405,1,3 - Good,RSP05255_Q107405_20211110_01.jpg,Good,3
RSP05256,039940c7-562d-480d-bd8f-feb3d1c1452d,2021-11-10,-33.8726602,121.8989676,Esperance,Dust Extractor 1,Ground,Beside RCD,Port Specific,Conveyer,Dust Extractor - Fan,No,109364,101583,1,3 - Good,RSP05256_Q101583_20211110_01.jpg,Good,3
RSP05257,f44d9137-3fd3-4aa3-9206-294c58da1c23,2021-11-10,-33.8726602,121.8989676,Esperance,Dust Extractor 1,Ground,Beside RCD,Port Specific,Conveyer,Electric Motor,No,109364,101584,1,3 - Good,RSP05257_Q101584_20211110_01.jpg,Good,3
RSP05258,24271a73-6535-4a93-a70c-8c2ce6f7eece,2021-11-10,-33.8726602,121.8989676,Esperance,Dust Extractor 1,Ground,Beside RCD,Port Specific,Conveyer,Electric Motor,No,109364,101582,1,3 - Good,RSP05258_Q101582_20211110_01.jpg,Good,3
RSP05259,7985c01e-1471-45b3-ab40-e1471c45b6fd,2021-11-10,-33.8726602,121.8989676,Esperance,Dust Extractor 1,Ground,Beside RCD,Port Specific,Conveyer,Gearbox,No,109364,101585,1,3 - Good,RSP05259_Q101585_20211110_01.jpg,Good,3
RSP05323,b8dbad33-6120-4375-9bf2-59fa3f1eb2ab,2021-11-08,-33.87113767,121.894995,Esperance,Dust Extractor 2,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor,No,109358,109358,1,3 - Good,RSP05323_Q109358_20211108_01.jpg,Good,3
RSP05324,a5dc6be8-b0a8-41ec-bcda-9f1ee3d20557,2021-11-08,-33.87109786,121.8949943,Esperance,Dust Extractor 2,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor,No,109358,107398,1,3 - Good,RSP05324_Q107398_20211108_01.jpg,Good,3
RSP05325,a62e236b-bc42-4abd-bb49-72370024d1d4,2021-11-08,-33.87110593,121.8949896,Esperance,Dust Extractor 2,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor - Fan,No,109358,101516,1,3 - Good,RSP05325_Q101516_20211108_01.jpg,Good,3
RSP05326,2bc89c5d-38da-4960-87c2-edce2cdceb3f,2021-11-08,-33.87109702,121.894999,Esperance,Dust Extractor 2,Ground,Shed 1 External,Port Specific,Conveyer,Electric Motor,No,109358,101517,1,3 - Good,RSP05326_Q101517_20211108_01.jpg,Good,3
RSP05327,8ae1abcc-33d5-4760-8a8f-0be3a81dcdc4,2021-11-08,-33.87110593,121.8949896,Esperance,Dust Extractor 2,Ground,Shed 1 External,Port Specific,Conveyer,Electric Motor,No,109358,101515,1,3 - Good,RSP05327_Q101515_20211108_01.jpg,Good,3
RSP05373,fe2d11a6-1524-41fe-ab05-f52ac7f89fcd,2021-11-08,-33.87127964,121.8953517,Esperance,Dust Extractor 3,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor,No,109357,109357,1,3 - Good,RSP05373_Q109357_20211108_01.jpg,Good,3
RSP05374,486e266d-5112-4c26-bed7-7baca92881a8,2021-11-08,-33.87127964,121.8953517,Esperance,Dust Extractor 3,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor,No,109357,107397,1,3 - Good,RSP05374_Q107397_20211108_01.jpg,Good,3
RSP05375,5d682390-1e1f-4ef5-90b0-8bb86ae30d43,2021-11-08,-33.87127964,121.8953517,Esperance,Dust Extractor 3,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor - Fan,No,109357,101511,1,3 - Good,RSP05375_Q101511_20211108_01.jpg,Good,3
RSP05376,78e46fc9-3e77-46bf-865b-7d0be4cf4277,2021-11-08,-33.87127964,121.8953517,Esperance,Dust Extractor 3,Ground,Shed 1 External,Port Specific,Conveyer,Electric Motor,No,109357,101510,1,3 - Good,RSP05376_Q101510_20211108_01.jpg,Good,3
RSP05377,60201d7a-7324-4b95-81c0-4f5fa40c3522,2021-11-08,-33.87127964,121.8953517,Esperance,Dust Extractor 3,Ground,Shed 1 External,Port Specific,Conveyer,Electric Motor,No,109357,101512,1,3 - Good,RSP05377_Q101512_20211108_01.jpg,Good,3
RSP05430,2e9cdd17-11f8-469a-8478-501cbea827aa,2021-11-08,-33.8714333,121.8957155,Esperance,Dust Extractor 4,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor,No,109312,109312,1,3 - Good,RSP05430_Q109312_20211108_01.jpg,Good,3
RSP05431,8f382284-848b-4c11-a878-843862424cba,2021-11-08,-33.8714333,121.8957155,Esperance,Dust Extractor 4,Ground,Shed 1 External,Port Specific,Conveyer,Dust Extractor - Fan,No,109312,101086,1,3 - Good,RSP05431_Q101086_20211108_01.jpg,Good,3
RSP05432,3a62f6f2-c1c5-4b49-a543-5ec71e97f156,2021-11-08,-33.8714333,121.8957155,Esperance,Dust Extractor 4,Ground,Shed 1 External,Port Specific,Conveyer,Electric Motor,No,109312,101087,1,3 - Good,RSP05432_Q101087_20211108_01.jpg,Good,3
RSP05433,c1bf8426-5905-4aae-a14d-9edc474688c3,2021-11-08,-33.87145195,121.8957554,Esperance,Dust Extractor 4,Ground,Shed 1 External,Port Specific,Conveyer,Electric Motor,No,109312,101088,1,3 - Good,RSP05433_Q101088_20211108_01.jpg,Good,3
RSP05434,80d24a91-43e2-46e9-9493-21541d8d60e5,2021-11-08,-33.8714333,121.8957155,Esperance,Dust Extractor 4,Ground,Shed 1 External,Port Specific,Conveyer,Emergency Stop (button),No,109312,101085,1,3 - Good,RSP05434_Q101085_20211108_01.jpg,Good,3
RSP05479,1379cfd5-a2c0-46f4-b093-3749d4100a78,2021-11-12,-33.87222611,121.8988181,Esperance,Dust Extractor 5,Ground,Behind Shed 6,Electrical,Power Distribution,Motor Control Centre (MCC),No,109390,101656,1,3 - Good,RSP05479_Q101656_20211112_01.jpg,Good,3
RSP05480,195a45b7-64cd-440f-9740-221dfbc599f0,2021-11-12,-33.87222611,121.8988181,Esperance,Dust Extractor 5,Ground,Behind Shed 6,Port Specific,Conveyer,Audible Alert Device (Siren),No,109390,No QR Code,1,4 - Fair,RSP05480_20211112_01.jpg,Fair,4
RSP05481,eafbbd20-f7ec-478a-a9fe-d43cd2c6f195,2021-11-12,-33.87222806,121.8988201,Esperance,Dust Extractor 5,Ground,Behind Shed 6,Port Specific,Conveyer,Dust Extractor,No,109390,107430,1,3 - Good,RSP05481_Q107430_20211112_01.jpg,Good,3
RSP05482,81d336ac-336f-40a5-8b71-3db1bd1721fe,2021-11-12,-33.87222806,121.8988201,Esperance,Dust Extractor 5,Ground,Behind Shed 6,Port Specific,Conveyer,Dust Extractor,No,109390,107431,1,3 - Good,RSP05482_Q107431_20211112_01.jpg,Good,3
RSP05483,6419e3b0-d8ad-47d9-a053-484a022e1a09,2021-11-12,-33.87222611,121.8988181,Esperance,Dust Extractor 5,Ground,Behind Shed 6,Port Specific,Conveyer,Dust Extractor - Fan,No,109390,101665,1,4 - Fair,RSP05483_Q101665_20211112_01.jpg,Fair,4
RSP05516,19f000da-4b20-4073-a9b6-74e840e2d553,2021-11-19,-33.87145084,121.8966415,Esperance,Dust Extractor 6,Ground,,Port Specific,Conveyer,Dust Extractor,No,,109050,1,3 - Good,RSP05516_Q109050_20211119_01.jpg,Good,3
RSP05517,958d3ec8-f918-462b-a35e-ecf230149d66,2021-11-19,-33.87147172,121.8966895,Esperance,Dust Extractor 6,Ground,,Port Specific,Conveyer,Dust Extractor - Fan,No,,103543,1,3 - Good,RSP05517_Q103543_20211119_01.jpg,Good,3
RSP05518,edaaa07b-48e0-4076-a90f-d75959657ba3,2021-11-19,-33.87147172,121.8966895,Esperance,Dust Extractor 6,Ground,,Port Specific,Conveyer,Electric Motor,No,,103544,1,3 - Good,RSP05518_Q103544_20211119_01.jpg,Good,3
RSP05519,c8323fa0-2a64-4a87-9f1b-e59e2cb36b50,2021-11-19,-33.87147172,121.8966895,Esperance,Dust Extractor 6,Ground,,Port Specific,Conveyer,Emergency Stop (button),No,,103542,1,3 - Good,RSP05519_Q103542_20211119_01.jpg,Good,3
RSP05520,01ad0e1c-9b62-4f42-99a5-d91626f2ba2a,2021-11-19,-33.87149148,121.89679,Esperance,Dust Extractor 6,Ground,,Hydraulics,Domestic Water,Water Meter,No,,103545,1,3 - Good,,Good,3
RSP05528,5f4ebbce-c4c0-49d6-833e-a4fdf9a75438,2021-10-27,-33.87242487,121.9076231,Esperance,Eastern Peninsula ,Ground,External,Port Specific,Enviromental,Air Monitor,No,,107092,1,3 - Good,RSP05528_Q107092_20211027_01.jpg,Good,3
RSP05529,3feb1d65-10ea-4f47-b395-cafb3f747718,2021-10-27,-33.87247275,121.9077596,Esperance,Eastern Peninsula ,Ground,,Port Specific,Navigational,Land Based Navigational Aid,No,,107091,1,3 - Good,RSP05529_Q107091_20211027_01.jpg,Good,3
RSP05530,02445d9e-2f27-4119-a2b2-2e6000206135,2021-11-22,-33.86925748,121.8942802,Esperance,Electrical Donga,Ground,Warehouse External,Building,Building,Building,No,,109020,1,3 - Good,RSP05530_Q109020_20211122_01.jpg,Good,3
RSP05531,af6a300e-08a0-47f0-941e-4119c8a291ff,2021-11-22,-33.86926249,121.8942771,Esperance,Electrical Donga,Ground,Warehouse External,Electrical,Power Distribution,Distribution Board (DB),No,,103302,1,3 - Good,RSP05531_Q103302_20211122_01.jpg,Good,3
RSP05532,c16b3cb5-d234-46b3-a8fd-a7eb98c8fc0b,2021-11-22,-33.8693301,121.8942906,Esperance,Electrical Donga,Ground,Warehouse External,Electrical,Power Generation,UPS,No,,103606,1,3 - Good,RSP05532_Q103606_20211122_01.jpg,Good,3
RSP05533,0172c276-e26c-49ba-a81b-4f5cde11cb33,2021-11-22,-33.86923633,121.8941766,Esperance,Electrical Donga,Ground,Warehouse External,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103306,1,3 - Good,RSP05533_Q103306_20211122_01.jpg,Good,3
RSP05534,8e68a984-44cb-4111-b004-13ac79fcb4f6,2021-11-22,-33.86925748,121.8942802,Esperance,Electrical Donga,Ground,Warehouse External,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,No,,103304,1,3 - Good,,Good,3
RSP05563,c59a769f-8db7-4593-8513-82c72025c8cd,2021-11-26,-33.86933627,121.8938805,Esperance,Electrical Engineers Office,Ground,,Building,Building,Building,No,,109031,1,3 - Good,RSP05563_Q109031_20211126_01.jpg,Good,3
RSP05564,1556d0d6-11fa-4864-973a-d10fc7a1c3d9,2021-11-26,-33.8693346,121.8938748,Esperance,Electrical Engineers Office,Ground,,Electrical,Power Distribution,Distribution Board (DB),No,,103487,1,3 - Good,RSP05564_Q103487_20211126_01.jpg,Good,3
RSP05565,fe4c134d-fdde-4ac4-acb1-d4e50886ff5f,2021-11-26,-33.8693346,121.8938748,Esperance,Electrical Engineers Office,Ground,,Furniture & Fittings,Occasional & Function Furniture,Coffee Table,No,,,1,3 - Good,,Good,3
RSP05566,13b4fbcf-7294-489c-80e9-fe21120baf6f,2021-11-26,-33.8693346,121.8938748,Esperance,Electrical Engineers Office,Ground,,Furniture & Fittings,Furniture,Shelving,No,,,1,3 - Good,,Good,3
